,Fraud_Data_LogisticRegression,Fraud_Data_XGBoost,Creditcard_LogisticRegression,Creditcard_XGBoost
AUC-PR,0.3726843200394947,0.6041988145280895,0.7146633158665164,0.8078135225797927
F1-Score,0.2722834426000837,0.6792196007259528,0.09963985594237695,0.76
